Date,Open,High,Low,Close,Volume
2010-07-18,0.05941,0.08585,0.05941,0.08584,75.01
2010-07-19,0.0909,0.09307,0.07890538,0.0808,574
2010-07-20,0.08181,0.08181,0.07426,0.07473333,262
2010-07-21,0.07425,0.07921,0.06634,0.07921,575
2010-07-22,0.07921,0.0808,0.05446,0.054955,2160
2010-07-23,0.0505,0.06767,0.0505,0.06241388,2402.5
2010-07-24,0.06161,0.06161,0.05081677,0.05454,496.32
2010-07-25,0.05545,0.05941,0.0505,0.0505,1551.48
2010-07-26,0.05,0.056,0.05,0.056,877
2010-07-27,0.0544875,0.05976298,0.0544875,0.05976298,3373.69
2010-07-28,0.06,0.06147387,0.054,0.0589,4390.29
2010-07-29,0.0597,0.0699,0.0571,0.06986257,8058.49
2010-07-30,0.0698,0.0698,0.06,0.06346087,3020.85
2010-07-31,0.06016324,0.06889,0.056,0.06785,4022.25
2010-08-01,0.06011837,0.065,0.06,0.0611,2601
2010-08-02,0.06262195,0.0633,0.06010568,0.06010568,3599
2010-08-03,0.06,0.065,0.059,0.06,9821.46
2010-08-04,0.0622959,0.0623,0.05728249,0.05728249,3494
2010-08-05,0.0581,0.061,0.058,0.061,5034.07
2010-08-06,0.06233333,0.0624,0.0607,0.06215714,1395
2010-08-07,0.0608,0.0622,0.059,0.059,2619
2010-08-08,0.059,0.0609,0.059,0.0609,2201
2010-08-09,0.05952739,0.07176087,0.05952739,0.0707,13631.09
2010-08-10,0.068,0.0709,0.06684251,0.07,1310.39
2010-08-11,0.06,0.07541,0.06,0.067,14061.18
2010-08-12,0.068,0.07,0.06395362,0.07,2062.31
2010-08-13,0.06529438,0.06791389,0.0645,0.0645,3591.77
2010-08-14,0.0655,0.06904602,0.06499996,0.067,4404.2
2010-08-15,0.067,0.067,0.065,0.06529,4462.866
2010-08-16,0.06319,0.0679,0.062275,0.0655,10731.468
2010-08-17,0.0655,0.07638,0.06243,0.07,13185.74
2010-08-18,0.07111775,0.0733,0.067,0.068,2953.975
2010-08-19,0.06789998,0.06789998,0.0667,0.0667,741.115
2010-08-20,0.0667,0.0667,0.065,0.0655,4199.747
2010-08-21,0.065496,0.06670549,0.0644,0.0664,10443.86
2010-08-22,0.06470633,0.066,0.0612,0.066,18648.972
2010-08-23,0.06525,0.06689,0.06409,0.06491,4297.49
2010-08-24,0.06491,0.0665,0.06491,0.065,6711.757
2010-08-25,0.06636748,0.06646416,0.0641,0.0648,4228.88
2010-08-26,0.064804,0.06579835,0.064,0.064,3870.01
2010-08-27,0.064,0.065,0.063,0.065,9009.973
2010-08-28,0.06479855,0.06495301,0.0645,0.06459825,6174.005
2010-08-29,0.0647,0.0647,0.064,0.064,3173.402
2010-08-30,0.0646,0.06511738,0.03211,0.06497,34193.138
2010-08-31,0.06411,0.06456398,0.06,0.06,14886.907
2010-09-01,0.062,0.06227781,0.05961,0.06227781,7164.722
2010-09-02,0.061,0.06313602,0.0601,0.06313602,8150.73
2010-09-03,0.061,0.063,0.06085,0.06085,892
2010-09-04,0.06125,0.06238,0.0612,0.06238,3301
2010-09-05,0.06245,0.06316285,0.06076317,0.06163975,8459.24
2010-09-06,0.0627,0.0627,0.0616,0.0616,910
2010-09-07,0.0616,0.062,0.0603,0.06114682,3457.192
2010-09-08,0.061,0.06126644,0.061,0.06126644,2345.41
2010-09-09,0.0611,0.0624,0.06109,0.06111,1733.502
2010-09-10,0.061,0.0618,0.06014,0.0618,4939.788
2010-09-11,0.0619,0.06448834,0.0619,0.06366,7749.14
2010-09-12,0.06162289,0.0621,0.0615,0.0615,793.88
2010-09-13,0.06199063,0.064,0.0608,0.06218242,10076.336
2010-09-14,0.062,0.175,0.0610051,0.06199,14014.808
2010-09-15,0.0625,0.0625,0.0604,0.0604,3651.85
2010-09-16,0.06187479,0.06187479,0.06187479,0.06187479,730
2010-09-17,0.06089,0.0609,0.05979769,0.05979769,7262
2010-09-18,0.059,0.061,0.05812714,0.061,7092.609
2010-09-19,0.06091,0.0627,0.06,0.0627,12852.17
2010-09-20,0.062025,0.06338125,0.062,0.0621,14307.94
2010-09-21,0.06309958,0.0633,0.0623,0.06265,5735.946
2010-09-22,0.06230075,0.06230075,0.06148457,0.06200081,11560.4
2010-09-23,0.0621,0.06289997,0.0615932,0.06231,15505.33
2010-09-24,0.06209,0.0623723,0.06209,0.0622,684.375
2010-09-25,0.062215,0.06236,0.061724,0.06202,2152.5
2010-09-26,0.06204,0.06220953,0.06186,0.06202171,12058.125
2010-09-27,0.06200536,0.06228,0.06195,0.06220093,10752.245
2010-09-28,0.06196,0.0621705,0.06171,0.06190867,7086.153
2010-09-29,0.062,0.062,0.06151504,0.06190043,23475.642
2010-09-30,0.06174,0.0619,0.06158559,0.0619,7917.025
2010-10-01,0.06189,0.062,0.06189,0.06197,1717.45
2010-10-02,0.06188,0.06189,0.06129,0.0614,13059.737
2010-10-03,0.06139993,0.0614,0.06100278,0.06111,7172.633
2010-10-04,0.06136169,0.06191,0.06084,0.06129983,33995.369
2010-10-05,0.06139937,0.06299152,0.06094774,0.0614,27526.613
