Date,Open,High,Low,Close,Volume
2014-09-17,0.00512251,0.00580299,0.00512251,0.00539852,1281960
2014-09-18,0.00539815,0.00552101,0.00509103,0.00513545,491147
2014-09-19,0.00513386,0.00516744,0.00487314,0.00494225,407109
2014-09-20,0.00494179,0.00495388,0.00473589,0.00477165,322621
2014-09-21,0.00476827,0.00479126,0.00453999,0.00456989,309571
2014-09-22,0.00456111,0.00467029,0.00453249,0.00465728,267342
2014-09-23,0.0046552,0.00465607,0.00454722,0.00461318,323106
2014-09-24,0.00460974,0.00466761,0.00451145,0.00466761,349329
2014-09-25,0.00466996,0.00485033,0.00464191,0.00472228,745348
2014-09-26,0.00472183,0.00473408,0.00455789,0.00461558,497323
2014-09-27,0.00460747,0.00471691,0.00457538,0.00470504,221573
2014-09-28,0.00470576,0.00534516,0.00465014,0.00528196,464102
2014-09-29,0.00527948,0.00544205,0.00465835,0.00470454,122073
2014-09-30,0.00470523,0.00470739,0.00463481,0.00464397,109352
2014-10-01,0.00464498,0.00477234,0.00464432,0.00475239,64998
2014-10-02,0.00475516,0.00487626,0.00475347,0.00487409,209158
2014-10-03,0.00487602,0.00504966,0.00487527,0.00502282,264083
2014-10-04,0.00502388,0.00520448,0.00493095,0.00494149,168516
2014-10-05,0.00493456,0.00501199,0.00474609,0.00478866,181316
2014-10-06,0.00477738,0.00478704,0.00470729,0.00472994,218684
2014-10-07,0.00473096,0.00480584,0.00472672,0.00476536,136439
2014-10-08,0.00476936,0.00480551,0.00469939,0.00478661,398026
2014-10-09,0.00478738,0.0048786,0.00477002,0.0048238,214591
2014-10-10,0.00482412,0.00487644,0.00481368,0.00487145,140436
2014-10-11,0.0048732,0.00488138,0.00474788,0.00475305,263175
2014-10-12,0.00475445,0.00486687,0.00474445,0.00485764,272667
2014-10-13,0.00485316,0.00486707,0.00472046,0.00478419,463679
2014-10-14,0.00479398,0.00492964,0.0047905,0.00487153,231490
