Date,Open,High,Low,Close,Volume
2015-08-07,2.831619978,3.536609888,2.521120071,2.772119999,164329
2015-08-08,2.793760061,2.798810005,0.714725018,0.753324986,674188
2015-08-09,0.706135988,0.879809976,0.629190981,0.701897025,532170
2015-08-10,0.713989019,0.729853988,0.636546016,0.708447993,405283
2015-08-11,0.708087027,1.131410003,0.663235009,1.067860007,1463100
2015-08-12,1.058750033,1.28994,0.883607984,1.217440009,2150620
2015-08-13,1.222239971,1.965070009,1.171990037,1.827669978,4068680
2015-08-14,1.81092,2.261879921,1.754750013,1.827870011,4637030
2015-08-15,1.802889943,1.877239943,1.570979953,1.688899994,2554360
2015-08-16,1.684350014,1.695240021,1.089810014,1.566030025,3550790
2015-08-17,1.58118999,1.58118999,1.185340047,1.203609943,1942830
2015-08-18,1.215299964,1.331159949,1.087049961,1.087049961,1485680
2015-08-19,1.16692996,1.317989945,1.16692996,1.258859992,1486240
2015-08-20,1.251180053,1.533300042,1.248329997,1.464920044,2843760
2015-08-21,1.477519989,1.556419969,1.352800012,1.395290017,2020970
2015-08-22,1.396289945,1.476410031,1.352679968,1.379230022,948310
2015-08-23,1.375,1.409700036,1.297770023,1.352589965,1589300
2015-08-24,1.345589995,1.362779975,1.231269956,1.231269956,924920
2015-08-25,1.228610039,1.241819978,1.12864995,1.140190005,1307180
2015-08-26,1.132789969,1.202479959,1.061830044,1.159980059,1056750
2015-08-27,1.169810057,1.188830018,1.137290001,1.147699952,686662
2015-08-28,1.147660017,1.207790017,1.120499969,1.191380024,721872
2015-08-29,1.193529963,1.207209945,1.149489999,1.182549953,375377
2015-08-30,1.182989955,1.367990017,1.170609951,1.319270015,1337650
2015-08-31,1.321380019,1.396149993,1.201009989,1.358240008,1447180
2015-09-01,1.353479981,1.392740011,1.336629987,1.351609945,778862
2015-09-02,1.35157001,1.354910016,1.264619946,1.29479003,883769
2015-09-03,1.295189977,1.309990048,1.211030006,1.26493001,702991
2015-09-04,1.26493001,1.302520037,1.236809969,1.274410009,474391
2015-09-05,1.280560017,1.342300057,1.271190047,1.338809967,448453
2015-09-06,1.338009953,1.373639941,1.294250011,1.295830011,491968
2015-09-07,1.295899987,1.305480003,1.237849951,1.246649981,489014
2015-09-08,1.246649981,1.282379985,1.230610013,1.242429972,427892
2015-09-09,1.239349961,1.260480046,1.201840043,1.206509948,366748
2015-09-10,1.207610011,1.221570015,1.136150002,1.165770054,662782
2015-09-11,1.16497004,1.169070005,0.94067502,0.982977986,1942600
2015-09-12,0.987227976,1.114889979,0.969780028,1.038740039,772430
2015-09-13,1.041779995,1.042700052,0.902831972,0.936003029,644138
2015-09-14,0.940566003,0.949387014,0.871760011,0.875621974,741085
2015-09-15,0.875189006,1.045539975,0.875189006,0.944410026,703390
